
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 7366   6000.00      0.00   -343.11 7383    0 7367    0  plain   wall  plain   wall
Object:   OBJ00039   7367      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00040   7367      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Cell: 3944   8000.00      0.00   -366.95  459    0  443 7367  plain   wall  plain  plain
Object:   OBJ00041   3944      d3s   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00042   3944      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00043   3944      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00044   3944      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00045   3944      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00046   3944      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00047   3944      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00048   3944      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00049   3944      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00050   3944      Vrm    50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00051   3944      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00052   3944      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00053   3944      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00054   3944      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00055   3944      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00056   3944      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00057   3944      crs    50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00058   3944      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00059   3944      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00060   3944      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Cell:  443   9000.00      0.00   -327.53  460    0  444 3944  plain   wall  rocks  plain
Object:   OBJ00061    443      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00062    443      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00063    443      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00064    443      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00065    443      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00066    443      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00067    443      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00068    443      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00069    443      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00070    443      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00071    443      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00072    443      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00073    443      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00074    443      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00075    443      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00076    443      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00077    443      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00078    443      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00079    443      d3t   -50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00080    443      cBt   -50.00      flora     0.10     0.10                 cyan       bush       tiny             
Cell:  444  10000.00      0.00   -413.24  461    0   31  443  plain   wall  plain  rocks
Object:   OBJ00081    444      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00082    444      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00083    444      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00084    444      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00085    444      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00086    444      cBt   -50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00087    444      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00088    444      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00089    444      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00090    444      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00091    444      c3s    10.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00092    444      dBs    10.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00093    444      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00094    444      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00095    444      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00096    444      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00097    444      d3t   -50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00098    444      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00099    444      cBt   -50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00100    444      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Cell:   31  11000.00      0.00   -324.81   47    0   32  444  plain   wall  plain  plain
Object:   OBJ00101     31      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00102     31      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00103     31      crt    10.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00104     31      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00105     31      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00106     31      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00107     31      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00108     31      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00109     31      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00110     31      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00111     31      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00112     31      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00113     31      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00114     31      cBs    50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00115     31      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00116     31      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00117     31      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00118     31      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00119     31      Vrt   -50.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00120     31      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Cell:   32  12000.00      0.00   -167.95   48    0   33   31  plain   wall  plain  plain
Object:   OBJ00121     32      Vrt   -50.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00122     32      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00123     32      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00124     32      dBt    50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00125     32      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00126     32      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00127     32      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00128     32      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00129     32      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00130     32      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00131     32      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00132     32      Vrt    50.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00133     32      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00134     32      dBt   -50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00135     32      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00136     32      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00137     32      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00138     32      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00139     32      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00140     32      dBt   -50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Cell:   33  13000.00      0.00   -375.20   49    0   34   32  plain   wall  plain  plain
Object:   OBJ00141     33      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00142     33      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00143     33      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00144     33      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00145     33      Vrm    50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00146     33      drs    10.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00147     33      cBt   -50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00148     33      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00149     33      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00150     33      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00151     33      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00152     33      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00153     33      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00154     33      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00155     33      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00156     33      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00157     33      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00158     33      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00159     33      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00160     33      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Cell:   34  14000.00      0.00   -328.19   50    0   35   33  plain   wall  plain  plain
Object:   OBJ00161     34      V3t   -50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00162     34      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00163     34      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00164     34      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00165     34      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00166     34      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00167     34      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00168     34      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00169     34      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00170     34      d3s   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00171     34      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00172     34      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00173     34      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00174     34      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00175     34      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00176     34      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00177     34      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00178     34      Vrm    50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00179     34      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00180     34      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Cell:   35  15000.00      0.00   -224.35   51    0   36   34  plain   wall  plain  plain
Object:   OBJ00181     35      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00182     35      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00183     35      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00184     35      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00185     35      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00186     35      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00187     35      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00188     35      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00189     35      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00190     35      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00191     35      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00192     35      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00193     35      V3t   -50.00      fauna     0.10     0.10            olivedrab     triped       tiny             
Object:   OBJ00194     35      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00195     35      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00196     35      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00197     35      VBt    50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00198     35      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00199     35      dBt    50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00200     35      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Cell:   36  16000.00      0.00   -329.00   52    0   37   35  plain   wall  plain  plain
Object:   OBJ00201     36      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00202     36      Vrm   -50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00203     36      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00204     36      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00205     36      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00206     36      c3s   -50.00      fauna     1.00     1.00                 cyan     triped      small             
Object:   OBJ00207     36      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00208     36      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00209     36      c3m    50.00      fauna     5.00    10.00                 cyan     triped     medium             
Object:   OBJ00210     36      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00211     36      d3m    50.00      fauna     5.00    10.00        dayglo-orange     triped     medium             
Object:   OBJ00212     36      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00213     36      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00214     36      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00215     36      d3s   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small             
Object:   OBJ00216     36      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00217     36      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00218     36      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00219     36      dBt   -50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00220     36      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Cell:   37  17000.00      0.00   -235.15   53    0   38   36  plain   wall  plain  plain
Object:   OBJ00221     37      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00222     37      dBt   -50.00      flora     0.10     0.10        dayglo-orange       bush       tiny             
Object:   OBJ00223     37      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00224     37      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00225     37      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00226     37      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00227     37      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00228     37      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00229     37      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00230     37      V3m    10.00      fauna     5.00    10.00            olivedrab     triped     medium             
Object:   OBJ00231     37      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00232     37      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00233     37      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00234     37      Vrt    10.00    mineral     0.10     0.10            olivedrab       rock       tiny             
Object:   OBJ00235     37      crs   -50.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00236     37      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00237     37      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00238     37      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00239     37      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00240     37      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Cell:   38  18000.00      0.00   -403.13   54    0   39   37  plain   wall  plain  plain
Object:   OBJ00241     38      cBs    10.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00242     38      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00243     38      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00244     38      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00245     38      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00246     38      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00247     38      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00248     38      dBs    50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00249     38      crt    10.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00250     38      cBt    10.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00251     38      cBt   -50.00      flora     0.10     0.10                 cyan       bush       tiny             
Object:   OBJ00252     38      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00253     38      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00254     38      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00255     38      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00256     38      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00257     38      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00258     38      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00259     38      d3t   -50.00      fauna     0.10     0.10        dayglo-orange     triped       tiny             
Object:   OBJ00260     38      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Cell:   39  19000.00      0.00   -350.60   55    0   40   38  plain   wall  plain  plain
Object:   OBJ00261     39      Vrs    10.00    mineral     1.00     1.00            olivedrab       rock      small             
Object:   OBJ00262     39      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00263     39      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00264     39      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00265     39      dBs   -50.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00266     39      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00267     39      dBm    50.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00268     39      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00269     39      V3s   -50.00      fauna     1.00     1.00            olivedrab     triped      small             
Object:   OBJ00270     39      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00271     39      VBt   -50.00      flora     0.10     0.10            olivedrab       bush       tiny             
Object:   OBJ00272     39      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00273     39      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00274     39      cBm    50.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00275     39      VBm    10.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00276     39      cBm    10.00      flora     5.00    10.00                 cyan       bush     medium             
Object:   OBJ00277     39      crs    10.00    mineral     1.00     1.00                 cyan       rock      small             
Object:   OBJ00278     39      VBm    50.00      flora     5.00    10.00            olivedrab       bush     medium             
Object:   OBJ00279     39      Vrm    10.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00280     39      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Cell:   40  20000.00      0.00   -338.36   56    0   41   39  plain   wall  plain  plain
Object:   OBJ00281     40      Vrm    50.00    mineral     5.00    10.00            olivedrab       rock     medium             
Object:   OBJ00282     40      cBs   -50.00      flora     1.00     1.00                 cyan       bush      small             
Object:   OBJ00283     40      crm    10.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00284     40      VBs   -50.00      flora     1.00     1.00            olivedrab       bush      small             
Object:   OBJ00285     40      crm    50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00286     40      Vrs   -50.00    mineral     1.00     1.00            olivedrab       rock      small             
