
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 1987   3000.00      0.00    -15.96  840    0 1988    0  cliff   wall  rocks   wall
Object:   OBJ00055   1997     crm5   -50.00    mineral     5.00    10.00                 cyan       rock     medium     5candela
Cell: 1998  14000.00      0.00   -680.62  849    0 1999 1997    mud   wall  plain    mud
Object:   OBJ00056   1998     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00057   1998     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00058   1998     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00059   1998     drsn   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small         none
Object:   OBJ00060   1998     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Cell: 1999  15000.00      0.00   -683.74 2012    0 4720 1998    mud   wall    mud    mud
Object:   OBJ00061   1999     c3sn   -50.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00062   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00063   1999     V3t5    10.00      fauna     0.10     0.10            olivedrab     triped       tiny     5candela
Object:   OBJ00064   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00065   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00066   1999     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00067   1999     crmn    50.00    mineral     5.00    10.00                 cyan       rock     medium         none
Object:   OBJ00068   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00069   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00070   1999     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00071   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00072   1999     Vrmn    50.00    mineral     5.00    10.00            olivedrab       rock     medium         none
Object:   OBJ00073   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00074   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00075   1999     c3sn   -50.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00076   1999     c3sn    10.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00077   1999     V3m5    10.00      fauna     5.00    10.00            olivedrab     triped     medium     5candela
Object:   OBJ00078   1999     drmn   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium         none
Object:   OBJ00079   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00080   1999     drsb    50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00081   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00082   1999     cBtn    50.00      flora     0.10     0.10                 cyan       bush       tiny         none
Object:   OBJ00083   1999     c3sn    10.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00084   1999     drm5   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium     5candela
Object:   OBJ00085   1999     drmn   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium         none
Object:   OBJ00086   1999     drs5   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small     5candela
Object:   OBJ00087   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00088   1999     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00089   1999     drmn   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium         none
Object:   OBJ00090   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00091   1999     crm5   -50.00    mineral     5.00    10.00                 cyan       rock     medium     5candela
Object:   OBJ00092   1999     drmb   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium     blinding
Object:   OBJ00093   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00094   1999     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00095   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00096   1999     c3tb    10.00      fauna     0.10     0.10                 cyan     triped       tiny     blinding
Object:   OBJ00097   1999     crm5   -50.00    mineral     5.00    10.00                 cyan       rock     medium     5candela
Object:   OBJ00098   1999     Vrmb    50.00    mineral     5.00    10.00            olivedrab       rock     medium     blinding
Object:   OBJ00099   1999     crmn    10.00    mineral     5.00    10.00                 cyan       rock     medium         none
Object:   OBJ00100   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00101   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00102   1999     dBmn    10.00      flora     5.00    10.00        dayglo-orange       bush     medium         none
Object:   OBJ00103   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00104   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00105   1999     d3m5    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium     5candela
Object:   OBJ00106   1999     cBsb    10.00      flora     1.00     1.00                 cyan       bush      small     blinding
Object:   OBJ00107   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00108   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00109   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00110   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00111   1999     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00112   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00113   1999     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00114   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00115   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00116   1999     d3sb    10.00      fauna     1.00     1.00        dayglo-orange     triped      small     blinding
Object:   OBJ00117   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00118   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00119   1999     drmb    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium     blinding
Object:   OBJ00120   1999     drsb    50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00121   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00122   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00123   1999     V3s5    10.00      fauna     1.00     1.00            olivedrab     triped      small     5candela
Object:   OBJ00124   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00125   1999     c3tb    50.00      fauna     0.10     0.10                 cyan     triped       tiny     blinding
Object:   OBJ00126   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00127   1999     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00128   1999     cBm5   -50.00      flora     5.00    10.00                 cyan       bush     medium     5candela
Object:   OBJ00129   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00130   1999     cBmb    50.00      flora     5.00    10.00                 cyan       bush     medium     blinding
Object:   OBJ00131   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00132   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00133   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00134   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00135   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00136   1999     Vrsn    10.00    mineral     1.00     1.00            olivedrab       rock      small         none
Object:   OBJ00137   1999     d3sn   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small         none
Object:   OBJ00138   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00139   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00140   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00141   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00142   1999     c3tn    10.00      fauna     0.10     0.10                 cyan     triped       tiny         none
Object:   OBJ00143   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00144   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00145   1999     cBtn    10.00      flora     0.10     0.10                 cyan       bush       tiny         none
Object:   OBJ00146   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00147   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00148   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00149   1999     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00150   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00151   1999     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00152   1999     cBsb    50.00      flora     1.00     1.00                 cyan       bush      small     blinding
Object:   OBJ00153   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00154   1999     drsb    50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00155   1999     drsn   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small         none
Object:   OBJ00156   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00157   1999     V3tb    10.00      fauna     0.10     0.10            olivedrab     triped       tiny     blinding
Object:   OBJ00158   1999     c3sn    10.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00159   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00160   1999     Vrt5    10.00    mineral     0.10     0.10            olivedrab       rock       tiny     5candela
Object:   OBJ00161   1999     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00162   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00163   1999     crmn    50.00    mineral     5.00    10.00                 cyan       rock     medium         none
Object:   OBJ00164   1999     d3mn   -50.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00165   1999     drsn   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small         none
Object:   OBJ00166   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00167   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00168   1999     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00169   1999     c3t5    10.00      fauna     0.10     0.10                 cyan     triped       tiny     5candela
Object:   OBJ00170   1999     drtn    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny         none
Object:   OBJ00171   1999     c3mn   -50.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00172   1999     c3sb    10.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00173   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00174   1999     c3mb    10.00      fauna     5.00    10.00                 cyan     triped     medium     blinding
Object:   OBJ00175   1999     d3m5   -50.00      fauna     5.00    10.00        dayglo-orange     triped     medium     5candela
Object:   OBJ00176   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00177   1999     c3tb    50.00      fauna     0.10     0.10                 cyan     triped       tiny     blinding
Object:   OBJ00178   1999     c3sn    10.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00179   1999     drmb   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium     blinding
Object:   OBJ00180   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00181   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00182   1999     d3tb    10.00      fauna     0.10     0.10        dayglo-orange     triped       tiny     blinding
Object:   OBJ00183   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00184   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00185   1999     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00186   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00187   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00188   1999     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00189   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00190   1999     c3tn    10.00      fauna     0.10     0.10                 cyan     triped       tiny         none
Object:   OBJ00191   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00192   1999     d3sn   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small         none
Object:   OBJ00193   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00194   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00195   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00196   1999     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00197   1999     c3mn    10.00      fauna     5.00    10.00                 cyan     triped     medium         none
Object:   OBJ00198   1999     drsb   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00199   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00200   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00201   1999     Vrmn    50.00    mineral     5.00    10.00            olivedrab       rock     medium         none
Object:   OBJ00202   1999     Vrm5    10.00    mineral     5.00    10.00            olivedrab       rock     medium     5candela
Object:   OBJ00203   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00204   1999     d3mb    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium     blinding
Object:   OBJ00205   1999     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00206   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00207   1999     V3sb    50.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00208   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00209   1999     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00210   1999     d3sb   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small     blinding
Object:   OBJ00211   1999     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00212   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00213   1999     drs5   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small     5candela
Object:   OBJ00214   1999     V3tn    10.00      fauna     0.10     0.10            olivedrab     triped       tiny         none
Object:   OBJ00215   1999     crmn   -50.00    mineral     5.00    10.00                 cyan       rock     medium         none
Object:   OBJ00216   1999     c3mb    10.00      fauna     5.00    10.00                 cyan     triped     medium     blinding
Object:   OBJ00217   1999     d3sn    10.00      fauna     1.00     1.00        dayglo-orange     triped      small         none
Object:   OBJ00218   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00219   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00220   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00221   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00222   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00223   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00224   1999     d3mn    10.00      fauna     5.00    10.00        dayglo-orange     triped     medium         none
Object:   OBJ00225   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00226   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00227   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00228   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00229   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00230   1999     drsb   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00231   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00232   1999     V3tb    10.00      fauna     0.10     0.10            olivedrab     triped       tiny     blinding
Object:   OBJ00233   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00234   1999     VBtn    10.00      flora     0.10     0.10            olivedrab       bush       tiny         none
Object:   OBJ00235   1999     c3sb    50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00236   1999     c3sn    10.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00237   1999     c3tb    10.00      fauna     0.10     0.10                 cyan     triped       tiny     blinding
Object:   OBJ00238   1999     c3sb   -50.00      fauna     1.00     1.00                 cyan     triped      small     blinding
Object:   OBJ00239   1999     crsb    50.00    mineral     1.00     1.00                 cyan       rock      small     blinding
Object:   OBJ00240   1999     Vrs5    50.00    mineral     1.00     1.00            olivedrab       rock      small     5candela
Object:   OBJ00241   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00242   1999     Vrsn    50.00    mineral     1.00     1.00            olivedrab       rock      small         none
Object:   OBJ00243   1999     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00244   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00245   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00246   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00247   1999     crmb   -50.00    mineral     5.00    10.00                 cyan       rock     medium     blinding
Object:   OBJ00248   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00249   1999     d3sb   -50.00      fauna     1.00     1.00        dayglo-orange     triped      small     blinding
Object:   OBJ00250   1999     c3sn    10.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00251   1999     d3sn    10.00      fauna     1.00     1.00        dayglo-orange     triped      small         none
Object:   OBJ00252   1999     c3sn   -50.00      fauna     1.00     1.00                 cyan     triped      small         none
Object:   OBJ00253   1999     c3tn    10.00      fauna     0.10     0.10                 cyan     triped       tiny         none
Object:   OBJ00254   1999     V3mn    10.00      fauna     5.00    10.00            olivedrab     triped     medium         none
Object:   OBJ00255   1999     cBtn    10.00      flora     0.10     0.10                 cyan       bush       tiny         none
Object:   OBJ00256   1999     Vrsn    50.00    mineral     1.00     1.00            olivedrab       rock      small         none
Object:   OBJ00257   1999     crsn    50.00    mineral     1.00     1.00                 cyan       rock      small         none
Object:   OBJ00258   1999     V3mb    10.00      fauna     5.00    10.00            olivedrab     triped     medium     blinding
Object:   OBJ00259   1999     drsb   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small     blinding
Object:   OBJ00260   1999     V3sb    10.00      fauna     1.00     1.00            olivedrab     triped      small     blinding
Object:   OBJ00261   1999     drmn   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium         none
Object:   OBJ00262   1999     VBtn    10.00      flora     0.10     0.10            olivedrab       bush       tiny         none
Object:   OBJ00263   1999     V3sn    10.00      fauna     1.00     1.00            olivedrab     triped      small         none
Object:   OBJ00264   1999     Vrsb    50.00    mineral     1.00     1.00            olivedrab       rock      small     blinding
Object:   OBJ00265   1999     Vrtb    10.00    mineral     0.10     0.10            olivedrab       rock       tiny     blinding
